HCC1954_siControl_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_2.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_2.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_3.fastq.gz_trimmed_featurecounts.txt
ARHGEF16,58,ARHGEF16,91,ARHGEF16,104,ARHGEF16,101,ARHGEF16,122
MEGF6,151,MEGF6,158,MEGF6,163,MEGF6,203,MEGF6,199
LOC105378608,0,LOC105378608,0,LOC105378608,0,LOC105378608,0,LOC105378608,0
MIR551A,0,MIR551A,0,MIR551A,0,MIR551A,0,MIR551A,0
TPRG1L,289,TPRG1L,543,TPRG1L,271,TPRG1L,381,TPRG1L,427
WRAP73,84,WRAP73,72,WRAP73,89,WRAP73,131,WRAP73,127
TP73,3,TP73,14,TP73,5,TP73,12,TP73,13
TP73-AS3,0,TP73-AS3,0,TP73-AS3,0,TP73-AS3,0,TP73-AS3,0
TP73-AS1,84,TP73-AS1,156,TP73-AS1,119,TP73-AS1,138,TP73-AS1,128
CCDC27,0,CCDC27,0,CCDC27,0,CCDC27,0,CCDC27,0
SMIM1,2,SMIM1,3,SMIM1,0,SMIM1,0,SMIM1,1
LRRC47,271,LRRC47,305,LRRC47,334,LRRC47,398,LRRC47,436
CEP104,225,CEP104,316,CEP104,230,CEP104,376,CEP104,344
LOC124903829,2,LOC124903829,0,LOC124903829,0,LOC124903829,9,LOC124903829,1
DFFB,46,DFFB,32,DFFB,33,DFFB,34,DFFB,73
C1orf174,225,C1orf174,199,C1orf174,115,C1orf174,162,C1orf174,162
LINC01134,0,LINC01134,0,LINC01134,0,LINC01134,1,LINC01134,0
LINC01346,0,LINC01346,0,LINC01346,0,LINC01346,0,LINC01346,0
LINC01345,0,LINC01345,0,LINC01345,0,LINC01345,0,LINC01345,0
LINC01777,0,LINC01777,0,LINC01777,0,LINC01777,0,LINC01777,0
LOC105376674,0,LOC105376674,0,LOC105376674,0,LOC105376674,0,LOC105376674,0
LOC124904578,0,LOC124904578,0,LOC124904578,0,LOC124904578,0,LOC124904578,0
LINC01646,0,LINC01646,0,LINC01646,0,LINC01646,0,LINC01646,0
AJAP1,0,AJAP1,0,AJAP1,0,AJAP1,0,AJAP1,0
LINC02781,0,LINC02781,0,LINC02781,0,LINC02781,0,LINC02781,0
LOC124904589,0,LOC124904589,0,LOC124904589,0,LOC124904589,0,LOC124904589,0
LOC102724429,0,LOC102724429,0,LOC102724429,0,LOC102724429,0,LOC102724429,0
LINC02782,0,LINC02782,0,LINC02782,1,LINC02782,0,LINC02782,0
LOC105376682,0,LOC105376682,0,LOC105376682,0,LOC105376682,0,LOC105376682,0
LOC124904590,0,LOC124904590,0,LOC124904590,0,LOC124904590,0,LOC124904590,0
LOC107984911,0,LOC107984911,0,LOC107984911,0,LOC107984911,0,LOC107984911,0
LOC105376686,0,LOC105376686,0,LOC105376686,0,LOC105376686,0,LOC105376686,0
LOC124900451,0,LOC124900451,0,LOC124900451,0,LOC124900451,0,LOC124900451,0
LOC124903830,0,LOC124903830,0,LOC124903830,0,LOC124903830,0,LOC124903830,0
MIR4689,0,MIR4689,0,MIR4689,0,MIR4689,0,MIR4689,0
NPHP4,33,NPHP4,85,NPHP4,30,NPHP4,57,NPHP4,71
KCNAB2,23,KCNAB2,14,KCNAB2,8,KCNAB2,21,KCNAB2,18
LOC124903831,0,LOC124903831,0,LOC124903831,0,LOC124903831,0,LOC124903831,2
CHD5,7,CHD5,10,CHD5,5,CHD5,16,CHD5,7
RPL22,2360,RPL22,3731,RPL22,4031,RPL22,3615,RPL22,4306
RNF207-AS1,0,RNF207-AS1,0,RNF207-AS1,1,RNF207-AS1,1,RNF207-AS1,1
RNF207,50,RNF207,41,RNF207,47,RNF207,49,RNF207,78
ICMT,631,ICMT,1055,ICMT,494,ICMT,830,ICMT,895
ICMT-DT,0,ICMT-DT,0,ICMT-DT,1,ICMT-DT,2,ICMT-DT,0
HES3,0,HES3,0,HES3,0,HES3,0,HES3,0
GPR153,20,GPR153,21,GPR153,31,GPR153,35,GPR153,39
ACOT7,239,ACOT7,322,ACOT7,288,ACOT7,355,ACOT7,421
HES2,55,HES2,55,HES2,44,HES2,77,HES2,83
ESPN,11,ESPN,13,ESPN,12,ESPN,11,ESPN,16
MIR4252,0,MIR4252,0,MIR4252,0,MIR4252,0,MIR4252,0
TNFRSF25,2,TNFRSF25,10,TNFRSF25,11,TNFRSF25,5,TNFRSF25,20
PLEKHG5,14,PLEKHG5,15,PLEKHG5,33,PLEKHG5,23,PLEKHG5,41
NOL9,304,NOL9,453,NOL9,394,NOL9,507,NOL9,461
TAS1R1,0,TAS1R1,0,TAS1R1,0,TAS1R1,0,TAS1R1,0
LOC107984912,0,LOC107984912,0,LOC107984912,0,LOC107984912,0,LOC107984912,0
ZBTB48,47,ZBTB48,53,ZBTB48,33,ZBTB48,38,ZBTB48,42
KLHL21,142,KLHL21,122,KLHL21,94,KLHL21,135,KLHL21,133
LOC107984913,0,LOC107984913,0,LOC107984913,0,LOC107984913,1,LOC107984913,1
PHF13,56,PHF13,98,PHF13,98,PHF13,121,PHF13,125
THAP3,21,THAP3,9,THAP3,2,THAP3,17,THAP3,10
DNAJC11,585,DNAJC11,896,DNAJC11,869,DNAJC11,1034,DNAJC11,1003
LINC01672,0,LINC01672,0,LINC01672,0,LINC01672,0,LINC01672,0
LOC124904847,0,LOC124904847,0,LOC124904847,0,LOC124904847,0,LOC124904847,0
CAMTA1-DT,4,CAMTA1-DT,3,CAMTA1-DT,1,CAMTA1-DT,6,CAMTA1-DT,4
CAMTA1,540,CAMTA1,503,CAMTA1,381,CAMTA1,708,CAMTA1,726
LOC124903832,30,LOC124903832,31,LOC124903832,26,LOC124903832,36,LOC124903832,15
CAMTA1-AS3,0,CAMTA1-AS3,0,CAMTA1-AS3,0,CAMTA1-AS3,0,CAMTA1-AS3,0
LOC124900385,0,LOC124900385,0,LOC124900385,0,LOC124900385,0,LOC124900385,0
CAMTA1-AS2,0,CAMTA1-AS2,0,CAMTA1-AS2,0,CAMTA1-AS2,0,CAMTA1-AS2,0
CAMTA1-AS1,0,CAMTA1-AS1,0,CAMTA1-AS1,0,CAMTA1-AS1,0,CAMTA1-AS1,0
LOC105376691,0,LOC105376691,0,LOC105376691,0,LOC105376691,0,LOC105376691,0
LOC105376689,22,LOC105376689,21,LOC105376689,13,LOC105376689,16,LOC105376689,13
VAMP3,615,VAMP3,914,VAMP3,767,VAMP3,919,VAMP3,968
PER3,19,PER3,67,PER3,7,PER3,47,PER3,33
LOC124903833,0,LOC124903833,0,LOC124903833,0,LOC124903833,0,LOC124903833,0
UTS2,0,UTS2,0,UTS2,0,UTS2,0,UTS2,0
TNFRSF9,2,TNFRSF9,1,TNFRSF9,1,TNFRSF9,0,TNFRSF9,0
PARK7,733,PARK7,1178,PARK7,772,PARK7,853,PARK7,1148
LOC124903834,0,LOC124903834,2,LOC124903834,7,LOC124903834,4,LOC124903834,1
ERRFI1,1967,ERRFI1,2095,ERRFI1,3006,ERRFI1,4310,ERRFI1,3596
ERRFI1-DT,3,ERRFI1-DT,10,ERRFI1-DT,15,ERRFI1-DT,11,ERRFI1-DT,40
LOC107984915,0,LOC107984915,1,LOC107984915,4,LOC107984915,1,LOC107984915,4
LINC01714,4,LINC01714,2,LINC01714,0,LINC01714,1,LINC01714,1
LOC105376695,0,LOC105376695,0,LOC105376695,0,LOC105376695,0,LOC105376695,0
LOC124903835,0,LOC124903835,4,LOC124903835,0,LOC124903835,0,LOC124903835,0
SLC45A1,0,SLC45A1,0,SLC45A1,0,SLC45A1,0,SLC45A1,0
RERE,637,RERE,595,RERE,1251,RERE,1669,RERE,1297
RERE-AS1,0,RERE-AS1,0,RERE-AS1,0,RERE-AS1,0,RERE-AS1,0
SNORD128,0,SNORD128,0,SNORD128,0,SNORD128,1,SNORD128,0
LOC124900452,0,LOC124900452,0,LOC124900452,0,LOC124900452,0,LOC124900452,0
ENO1,8531,ENO1,14739,ENO1,10107,ENO1,11561,ENO1,15017
MIR6728,0,MIR6728,1,MIR6728,0,MIR6728,0,MIR6728,0
ENO1-AS1,0,ENO1-AS1,0,ENO1-AS1,0,ENO1-AS1,1,ENO1-AS1,4
LOC112268261,3,LOC112268261,0,LOC112268261,2,LOC112268261,0,LOC112268261,0
CA6,0,CA6,0,CA6,0,CA6,0,CA6,0
SLC2A7,0,SLC2A7,0,SLC2A7,0,SLC2A7,0,SLC2A7,0
SLC2A5,2,SLC2A5,7,SLC2A5,0,SLC2A5,2,SLC2A5,0
LOC124900441,0,LOC124900441,0,LOC124900441,0,LOC124900441,0,LOC124900441,0
GPR157,91,GPR157,126,GPR157,145,GPR157,137,GPR157,136
MIR34AHG,87,MIR34AHG,63,MIR34AHG,73,MIR34AHG,95,MIR34AHG,111
MIR34A,0,MIR34A,0,MIR34A,0,MIR34A,0,MIR34A,0
LNCTAM34A,4,LNCTAM34A,3,LNCTAM34A,10,LNCTAM34A,5,LNCTAM34A,8
H6PD,149,H6PD,178,H6PD,88,H6PD,213,H6PD,225
LOC124903836,0,LOC124903836,0,LOC124903836,0,LOC124903836,0,LOC124903836,0
SPSB1,135,SPSB1,214,SPSB1,185,SPSB1,232,SPSB1,242
LINC02606,0,LINC02606,0,LINC02606,0,LINC02606,1,LINC02606,2
SLC25A33,173,SLC25A33,252,SLC25A33,101,SLC25A33,209,SLC25A33,325
TMEM201,78,TMEM201,67,TMEM201,121,TMEM201,104,TMEM201,134
LOC124903837,2,LOC124903837,3,LOC124903837,1,LOC124903837,0,LOC124903837,5
PIK3CD,3,PIK3CD,10,PIK3CD,8,PIK3CD,8,PIK3CD,11
LOC105376712,0,LOC105376712,0,LOC105376712,0,LOC105376712,0,LOC105376712,0
PIK3CD-AS1,0,PIK3CD-AS1,0,PIK3CD-AS1,0,PIK3CD-AS1,0,PIK3CD-AS1,0
PIK3CD-AS2,0,PIK3CD-AS2,5,PIK3CD-AS2,0,PIK3CD-AS2,5,PIK3CD-AS2,2
LOC124903839,0,LOC124903839,0,LOC124903839,0,LOC124903839,0,LOC124903839,0
CLSTN1,1469,CLSTN1,2072,CLSTN1,1829,CLSTN1,2567,CLSTN1,2501
CTNNBIP1,312,CTNNBIP1,373,CTNNBIP1,302,CTNNBIP1,392,CTNNBIP1,420
